block_index,block_sparsity,test_accuracy_drop,inference_time_rel_drop,model_size_drop,FLOPs_drop,param_drop
0,0.0,0.00036664803822835285,0.0,0,0,0
0,0.2,0.0008999903996785482,0.0,55360,28360704.0,13848.0
0,0.4,0.00036664803822835285,0.0,115520,59084800.0,28850.0
0,0.6,0.0011999805768330891,0.0,175680,89808896.0,43852.0
0,0.8,0.004766643047332764,0.0,235840,120532992.0,58854.0
1,0.0,0.0001333157221476237,0.0,0,0,0
1,0.2,0.00023331244786580405,0.0,55360,28360704.0,13848.0
1,0.4,0.0006000002225240072,0.0,115520,59084800.0,28850.0
1,0.6,0.0021999875704447427,0.0,175680,89808896.0,43852.0
1,0.8,0.005966663360595703,0.0,235840,120532992.0,58854.0
2,0.0,-0.00026667118072509766,0.0,0,0,0
2,0.2,-0.00033334891001383465,0.0,173056,22144000.0,43250.0
2,0.4,0.0020333329836527505,0.0,353280,45173760.0,88230.0
2,0.6,0.003533343474070231,0.0,526336,67317760.0,131480.0
2,0.8,0.009766678015391031,0.0,706560,90347520.0,176460.0
3,0.0,9.999672571818034e-05,0.0,0,0,0
3,0.2,0.0003333290417989095,0.0,230720,29516800.0,57650.0
3,0.4,0.0016333460807800293,0.0,470848,60214272.0,117606.0
3,0.6,0.004433333873748779,0.0,701504,89731072.0,175256.0
3,0.8,0.010033349196116129,0.0,941632,120428544.0,235212.0
4,0.0,0.001466671625773112,0.0,0,0,0
4,0.2,0.002866665522257487,0.0,705792,22573824.0,176358.0
4,0.4,0.00593334436416626,0.0,1411584,45147648.0,352716.0
4,0.6,0.009366671244303385,0.0,2117376,67721472.0,529074.0
4,0.8,0.016933321952819824,0.0,2823168,90295296.0,705432.0
5,0.0,0.0005666414896647135,0.0,0,0,0
5,0.2,0.0006333192189534506,0.0,940928,30094080.0,235110.0
5,0.4,0.0011666615804036458,0.0,1881728,60188160.0,470220.0
5,0.6,0.00473332405090332,0.0,2822528,90282240.0,705330.0
5,0.8,0.008966664473215738,0.0,3763328,120376320.0,940440.0
6,0.0,9.999672571818034e-05,0.0,0,0,0
6,0.2,0.00289998451868693,0.0,2821632,22567296.0,705228.0
6,0.4,0.0042999982833862305,0.0,5643264,45134592.0,1410456.0
6,0.6,0.010933339595794678,0.0,8492800,67923136.0,2122598.0
6,0.8,0.018766661485036213,0.0,11314432,90490432.0,2827826.0
7,0.0,0.00036662817001342773,0.0,0,0,0
7,0.2,0.0020999709765116372,0.0,3761728,30087552.0,940236.0
7,0.4,0.003833293914794922,0.0,7523392,60175104.0,1880472.0
7,0.6,0.003999988238016765,0.0,11322240,90557632.0,2829926.0
7,0.8,0.014399965604146322,0.0,15083904,120645184.0,3770162.0
