model,test_accuracy
-1--1--1--1--1--1--1--1,0.7691999673843384
0--1--1--1--1--1--1--1,0.7685999870300293
-1-2-2-2-2-2-2-2,0.7633999586105347
0-2-2-2-2-2-2-2,0.7631999850273132
-1-8-8-8-8-8-8-8,0.6854999661445618
0-8-8-8-8-8-8-8,0.6851999759674072
2--1--1--1--1--1--1--1,0.7676999568939209
2-2-2-2-2-2-2-2,0.7626000046730042
2-8-8-8-8-8-8-8,0.6850999593734741
4--1--1--1--1--1--1--1,0.7678999900817871
4-2-2-2-2-2-2-2,0.7630999684333801
4-8-8-8-8-8-8-8,0.6859999895095825
6--1--1--1--1--1--1--1,0.7671999931335449
6-2-2-2-2-2-2-2,0.7639999985694885
6-8-8-8-8-8-8-8,0.6832999587059021
8--1--1--1--1--1--1--1,0.7657999992370605
8-2-2-2-2-2-2-2,0.7610999941825867
8-8-8-8-8-8-8-8,0.6768999695777893
-1-0--1--1--1--1--1--1,0.7689999938011169
2--1-2-2-2-2-2-2,0.7620999813079834
2-0-2-2-2-2-2-2,0.7617999911308289
8--1-8-8-8-8-8-8,0.6859999895095825
8-0-8-8-8-8-8-8,0.6861000061035156
-1-2--1--1--1--1--1--1,0.7682999968528748
8-2-8-8-8-8-8-8,0.685699999332428
-1-4--1--1--1--1--1--1,0.7680999636650085
2-4-2-2-2-2-2-2,0.7621999979019165
8-4-8-8-8-8-8-8,0.6851999759674072
-1-6--1--1--1--1--1--1,0.7671999931335449
2-6-2-2-2-2-2-2,0.7603999972343445
8-6-8-8-8-8-8-8,0.6830999851226807
-1-8--1--1--1--1--1--1,0.76419997215271
2-8-2-2-2-2-2-2,0.7583000063896179
-1--1-0--1--1--1--1--1,0.7680000066757202
2-2--1-2-2-2-2-2,0.762499988079071
2-2-0-2-2-2-2-2,0.7619999647140503
8-8--1-8-8-8-8-8,0.6956999897956848
8-8-0-8-8-8-8-8,0.698199987411499
-1--1-2--1--1--1--1--1,0.7681999802589417
8-8-2-8-8-8-8-8,0.6976000070571899
-1--1-4--1--1--1--1--1,0.7673999667167664
2-2-4-2-2-2-2-2,0.7605999708175659
8-8-4-8-8-8-8-8,0.6933000087738037
-1--1-6--1--1--1--1--1,0.7664999961853027
2-2-6-2-2-2-2-2,0.7604999542236328
8-8-6-8-8-8-8-8,0.689799964427948
-1--1-8--1--1--1--1--1,0.7630999684333801
2-2-8-2-2-2-2-2,0.7580999732017517
-1--1--1-0--1--1--1--1,0.7687999606132507
2-2-2--1-2-2-2-2,0.7620999813079834
2-2-2-0-2-2-2-2,0.7626000046730042
8-8-8--1-8-8-8-8,0.6942999958992004
8-8-8-0-8-8-8-8,0.6938999891281128
-1--1--1-2--1--1--1--1,0.7685999870300293
8-8-8-2-8-8-8-8,0.693399965763092
-1--1--1-4--1--1--1--1,0.767799973487854
2-2-2-4-2-2-2-2,0.7626999616622925
8-8-8-4-8-8-8-8,0.6901999711990356
-1--1--1-6--1--1--1--1,0.7660999894142151
2-2-2-6-2-2-2-2,0.7597000002861023
8-8-8-6-8-8-8-8,0.6864999532699585
-1--1--1-8--1--1--1--1,0.7630999684333801
2-2-2-8-2-2-2-2,0.7554999589920044
-1--1--1--1-0--1--1--1,0.7683999538421631
2-2-2-2--1-2-2-2,0.7637999653816223
2-2-2-2-0-2-2-2,0.7631999850273132
8-8-8-8--1-8-8-8,0.7032999992370605
8-8-8-8-0-8-8-8,0.7002999782562256
-1--1--1--1-2--1--1--1,0.7670999765396118
