block_index,block_sparsity,test_accuracy_drop,inference_time_rel_drop,model_size_drop,FLOPs_drop,param_drop
0,0.0,0.0010333458582560222,0.0,0,0,0
0,0.2,0.0010333458582560222,0.0,28928,14893056.0,7272.0
0,0.4,0.0010666847229003906,0.0,60608,31027200.0,15150.0
0,0.6,-0.0004666646321614583,0.0,92288,47161344.0,23028.0
0,0.8,0.002433339754740397,0.0,123968,63295488.0,30906.0
1,0.0,0.0038000146547953286,0.0,0,0,0
1,0.2,0.005166669686635335,0.0,173248,22156800.0,43275.0
1,0.4,0.006500025590260823,0.0,353600,45199872.0,88281.0
1,0.6,0.013900001843770346,0.0,526720,67356672.0,131556.0
1,0.8,0.037833333015441895,0.0,707072,90399744.0,176562.0
2,0.0,-0.00016667445500691733,0.0,0,0,0
2,0.2,0.0025999744733174643,0.0,706112,22580352.0,176409.0
2,0.4,0.012666662534077963,0.0,1412096,45160704.0,352818.0
2,0.6,0.022833327452341717,0.0,2118080,67741056.0,529227.0
2,0.8,0.0500333309173584,0.0,2824064,90321408.0,705636.0
3,0.0,0.003399968147277832,0.0,0,0,0
3,0.2,0.003899991512298584,0.0,1411136,22580352.0,352665.0
3,0.4,-0.000500023365020752,0.0,2822144,45160704.0,705330.0
3,0.6,0.0018666585286458333,0.0,4233152,67741056.0,1057995.0
3,0.8,0.00289998451868693,0.0,5644160,90321408.0,1410660.0
4,0.0,-0.0027666687965393066,0.0,0,0,0
4,0.2,-0.0024000207583109536,0.0,3762176,30090816.0,940338.0
4,0.4,-0.0015666683514912922,0.0,7524224,60181632.0,1880676.0
4,0.6,-0.001466671625773112,0.0,11323456,90567456.0,2830233.0
4,0.8,0.0011333028475443523,0.0,15085504,120658272.0,3770571.0
5,0.0,-0.0003333290417989095,0.0,0,0,0
5,0.2,-0.00030001004536946613,0.0,3762176,7522704.0,940338.0
5,0.4,-0.0004666646321614583,0.0,7524224,15045408.0,1880676.0
5,0.6,-0.0004666646321614583,0.0,11323456,22641864.0,2830233.0
5,0.8,0.00036664803822835285,0.0,15085504,30164568.0,3770571.0
